Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,Power Ranking
1,1,Bulbasaur,Seed Pokémon,NULL,NULL,NULL,0.7,6.9,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,87.5,12.5,50,45,49,49,65,65,45,318,45,Medium Slow,1059860,Monster,Grass,20,NULL,NULL,F
2,2,Ivysaur,Seed Pokémon,NULL,NULL,NULL,1.0,13.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,87.5,12.5,50,60,62,63,80,80,60,405,45,Medium Slow,1059860,Monster,Grass,20,1.0,Level 16,F
3,3,Venusaur,Seed Pokémon,NULL,NULL,NULL,2.0,100.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,87.5,12.5,50,80,82,83,100,100,80,525,45,Medium Slow,1059860,Monster,Grass,20,2.0,Level 32,C
4,3,Venusaur,Seed Pokémon,Mega,3.0,NULL,2.4,155.5,Grass,Poison,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",NULL,NULL,NULL,NULL,87.5,12.5,70,80,100,123,122,120,80,625,45,Medium Slow,1059860,Monster,Grass,20,NULL,NULL,B
1526,3,Venusaur,Seed Pokémon,Gigantamax,3.0,NULL,24.0,0.0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,87.5,12.5,50,80,82,83,100,100,80,525,45,Medium Slow,1059860,Monster,Grass,20,NULL,NULL,S
5,4,Charmander,Lizard Pokémon,NULL,NULL,NULL,0.6,8.5,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,50,39,52,43,60,50,65,309,45,Medium Slow,1059860,Monster,Dragon,20,NULL,NULL,F
6,5,Charmeleon,Flame Pokémon,NULL,NULL,NULL,1.1,19.0,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,50,58,64,58,80,65,80,405,45,Medium Slow,1059860,Monster,Dragon,20,5.0,Level 16,F
7,6,Charizard,Flame Pokémon,NULL,NULL,NULL,1.7,90.5,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,50,78,84,78,109,85,100,534,45,Medium Slow,1059860,Monster,Dragon,20,6.0,Level 36,C
8,6,Charizard,Flame Pokémon,Mega X,7.0,NULL,1.7,110.5,Fire,Dragon,Tough Claws,Powers up moves that make direct contact.,NULL,NULL,NULL,NULL,87.5,12.5,70,78,130,111,130,85,100,634,45,Medium Slow,1059860,Monster,Dragon,20,NULL,NULL,A
9,6,Charizard,Flame Pokémon,Mega Y,7.0,NULL,1.7,100.5,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,NULL,NULL,NULL,NULL,87.5,12.5,70,78,104,78,159,115,100,634,45,Medium Slow,1059860,Monster,Dragon,20,NULL,NULL,S
1522,6,Charizard,Flame Pokémon,Gigantamax,7.0,NULL,28.0,0.0,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,NULL,NULL,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,50,78,84,78,109,85,100,534,45,Medium Slow,1059860,Monster,Dragon,20,NULL,NULL,S
10,7,Squirtle,Tiny Turtle Pokémon,NULL,NULL,NULL,0.5,9.0,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain.,87.5,12.5,50,44,48,65,50,64,43,314,45,Medium Slow,1059860,Monster,Water 1,20,NULL,NULL,F
11,8,Wartortle,Turtle Pokémon,NULL,NULL,NULL,1.0,22.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain.,87.5,12.5,50,59,63,80,65,80,58,405,45,Medium Slow,1059860,Monster,Water 1,20,10.0,Level 16,F
12,9,Blastoise,Shellfish Pokémon,NULL,NULL,NULL,1.6,85.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain.,87.5,12.5,50,79,83,100,85,105,78,530,45,Medium Slow,1059860,Monster,Water 1,20,11.0,Level 36,C
13,9,Blastoise,Shellfish Pokémon,Mega,12.0,NULL,1.6,101.1,Water,NULL,Mega Launcher,Powers up aura and pulse moves.,NULL,NULL,NULL,NULL,87.5,12.5,70,79,103,120,135,115,78,630,45,Medium Slow,1059860,Monster,Water 1,20,NULL,NULL,S
1525,9,Blastoise,Shellfish Pokémon,Gigantamax,12.0,NULL,25.0,0.0,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,NULL,NULL,Rain Dish,The Pokémon gradually regains HP in rain.,87.5,12.5,50,79,83,100,85,105,78,530,45,Medium Slow,1059860,Monster,Water 1,20,NULL,NULL,S
32,10,Caterpie,Worm Pokémon,NULL,NULL,NULL,0.3,2.9,Bug,NULL,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,50,45,30,35,20,20,45,195,255,Medium Fast,1000000,Bug,NULL,15,NULL,NULL,G
23,11,Metapod,Cocoon Pokémon,NULL,NULL,NULL,0.7,9.9,Bug,NULL,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,NULL,NULL,50.0,50.0,50,50,20,55,25,25,30,205,120,Medium Fast,1000000,Bug,NULL,15,32.0,Level 7,G
24,12,Butterfree,Butterfly Pokémon,NULL,NULL,NULL,1.1,32.0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NULL,NULL,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",50.0,50.0,50,60,45,50,90,80,70,395,45,Medium Fast,1000000,Bug,NULL,15,23.0,Level 10,F
1521,12,Butterfree,Butterfly Pokémon,Gigantamax,24.0,NULL,17.0,0.0,Bug,Flying,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,NULL,NULL,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",50.0,50.0,50,60,45,50,90,80,70,395,45,Medium Fast,1000000,Bug,NULL,15,NULL,NULL,S
31,13,Weedle,Hairy Bug Pokémon,NULL,NULL,NULL,0.3,3.2,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,50,40,35,30,20,20,50,195,255,Medium Fast,1000000,Bug,NULL,15,NULL,NULL,G
30,14,Kakuna,Cocoon Pokémon,NULL,NULL,NULL,0.6,10.0,Bug,Poison,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,NULL,NULL,50.0,50.0,50,45,25,50,25,25,35,205,120,Medium Fast,1000000,Bug,NULL,15,31.0,Level 7,G
27,15,Beedrill,Poison Bee Pokémon,NULL,NULL,NULL,1.0,29.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,50.0,50.0,50,65,90,40,45,80,75,395,45,Medium Fast,1000000,Bug,NULL,15,30.0,Level 10,F
28,15,Beedrill,Poison Bee Pokémon,Mega,27.0,NULL,1.4,40.5,Bug,Poison,Adaptability,Powers up moves of the same type as the Pokémon.,NULL,NULL,NULL,NULL,50.0,50.0,70,65,150,40,15,80,145,495,45,Medium Fast,1000000,Bug,NULL,15,NULL,NULL,B
